 
Wed Jan 6 13:43:57 2016 ... X:264.03 Y:11.18
Wed Jan 6 13:43:58 2016 ... X:260.83 Y:11.56
Wed Jan 6 13:43:59 2016 ... X:262.09 Y:6.19
Wed Jan 6 13:44:01 2016 ... X:257.63
Wed Jan 6 13:44:02 2016 ... X:256.50
Wed Jan 6 13:44:03 2016 ... X:255.18
Wed Jan 6 13:44:04 2016 ... X:252.67
Wed Jan 6 13:44:06 2016 ... X:254.97
Wed Jan 6 13:44:07 2016 ... X:257.39 Y:4.54
Wed Jan 6 13:44:08 2016 ... X:254.18 Y:6.78
Wed Jan 6 13:44:09 2016 ... X:250.10 Y:10.17
Wed Jan 6 13:44:11 2016 ... X:251.31 Y:9.18
Wed Jan 6 13:44:12 2016 ... X:249.85 Y:14.95
Wed Jan 6 13:44:13 2016 ... X:255.84 Y:13.01
Wed Jan 6 13:44:14 2016 ... X:256.24 Y:14.84
Wed Jan 6 13:44:16 2016 ... X:253.88 Y:15.65
Wed Jan 6 13:44:17 2016 ... X:247.95 Y:14.78
Wed Jan 6 13:44:18 2016 ... X:244.01 Y:16.54
Wed Jan 6 13:44:20 2016 ... X:243.43 Y:10.08
Wed Jan 6 13:44:21 2016 ... X:247.29 Y:10.17
Wed Jan 6 13:44:22 2016 ... X:244.85 Y:9.70
Wed Jan 6 13:44:23 2016 ... X:244.31 Y:11.42
Wed Jan 6 13:44:25 2016 ... X:243.24 Y:9.55
Wed Jan 6 13:44:26 2016 ... X:234.98 Y:5.97
Wed Jan 6 13:44:27 2016 ... X:235.65 Y:4.77
Wed Jan 6 13:44:28 2016 ... X:236.94 Y:6.32
Wed Jan 6 13:44:30 2016 ... X:234.01 Y:8.78
Wed Jan 6 13:44:31 2016 ... X:236.47 Y:13.81
Wed Jan 6 13:44:32 2016 ... X:233.08 Y:13.19
Wed Jan 6 13:44:33 2016 ... X:232.38 Y:20.82
Wed Jan 6 13:44:35 2016 ... X:233.75 Y:21.73
Wed Jan 6 13:44:36 2016 ... X:228.81 Y:16.78
Wed Jan 6 13:44:37 2016 ... X:230.15 Y:15.77
Wed Jan 6 13:44:38 2016 ... X:232.32 Y:13.31
Wed Jan 6 13:44:40 2016 ... X:232.78 Y:14.14
Wed Jan 6 13:44:41 2016 ... X:226.20 Y:14.59
Wed Jan 6 13:44:42 2016 ... X:227.40 Y:13.10
Wed Jan 6 13:44:43 2016 ... X:224.58 Y:15.83
Wed Jan 6 13:44:45 2016 ... X:226.97 Y:15.02
Wed Jan 6 13:44:46 2016 ... X:226.48 Y:17.03
Wed Jan 6 13:44:47 2016 ... X:229.05 Y:17.66
Wed Jan 6 13:44:48 2016 ... X:224.56 Y:23.02
Wed Jan 6 13:44:50 2016 ... X:223.66 Y:20.80
Wed Jan 6 13:44:51 2016 ... X:220.05 Y:20.30
Wed Jan 6 13:44:52 2016 ... X:224.33 Y:19.80
Wed Jan 6 13:44:53 2016 ... X:217.55 Y:19.42
Wed Jan 6 13:44:55 2016 ... X:215.75 Y:16.49
Wed Jan 6 13:44:56 2016 ... X:219.68 Y:17.13
